      x1        x2         z
   -1.8438   -0.9657    0.0113
         0   -1.6551    0.2423
   -2.3054    1.6704    0.1211
   -0.5935         0    0.3320
   -1.8438    1.6704    0.3054
   -1.6423    1.2835    0.6634
    3.1648    2.0107    0.0000
   -0.2894    1.3745    0.5346
    0.3224    1.3745    0.1489
    0.3224   -2.6017    0.0444
    1.2987    0.5506    0.0800
   -0.8171    2.8922    0.0284
    1.7910   -0.3034    0.3171
    1.7910    1.6704    0.0007
    0.8820    1.2835    0.0323
   -1.2851   -1.3099    0.0101
    0.8820    1.6704    0.0188
   -2.1895    2.8922    0.0062
   -2.1895    1.2835    0.2340
    0.3224   -0.3034    0.4181
   -2.1895   -1.6093    0.0003
   -3.0659         0    0.0048
    2.7864         0    0.0153
    1.7910    2.7296    0.0000
   -0.2894   -2.2740    0.0399
   -0.5935   -2.2740    0.0150
    2.7864   -2.2740    0.0075
         0   -2.1646    0.0914
    2.7864    2.8922    0.0000
   -3.0659    2.7296    0.0007
   -2.3054    0.5506    0.1631
   -0.8171         0    0.3416
   -1.6423   -3.1851    0.0000
    1.7910    0.2898    0.1057
    2.7864   -2.6017    0.0033
   -2.8559   -1.3099    0.0002
    2.2655         0    0.0748
    0.5823   -2.2740    0.1521
   -1.2851    1.6704    0.6451
    2.4900   -1.6551    0.0694
   -2.3054    2.0107    0.0680
    2.4900   -0.9657    0.1189
   -0.2894   -1.6093    0.1316
    0.5823    1.3745    0.0679
   -0.2894   -2.6017    0.0151
   -3.0659   -2.6017    0.0000
    3.1648   -1.6093    0.0067
    2.7864    1.3745    0.0002
   -1.8438   -1.3099    0.0026
    2.4900    2.8922    0.0000
    0.3224    1.2835    0.1669
    1.4695    2.8922    0.0001
   -2.8559    2.0107    0.0108
   -3.0659    1.2835    0.0136
    0.8820   -1.6551    0.6154
    2.2655    2.5575    0.0000
   -3.0659    1.3745    0.0114
    1.2987   -2.1646    0.2486
    2.4900    2.0107    0.0000
   -1.6423    2.5575    0.0607
   -2.3054   -1.6093    0.0002
    1.7910   -2.2740    0.1106
   -1.8438    2.7296    0.0259
         0    2.8922    0.0094
